placa,nome,marca,modelo,combustivel,consumo,carga,data_cadastro
EIL 4J43,Polo ,Volkswagen,VW POlo TSI,Flex,9.999999999999991,1000,2025-10-15 11:25:33
QKG-1255,Truck,Mercedes,of1620 Mercedes,Diesel,3.700000000000014,15000,2025-10-15 15:56:07
